zip,name,latitude,longitude
1400,"Nivelles",50.5983,4.3285
1401,"Baulers",50.6133,4.3528
1402,"Thines",50.5968,4.369
1404,"Bornival",50.6019,4.2765
1410,"Waterloo",50.7147,4.3991
1420,"Braine-L'Alleud",50.6836,4.3678
1421,"Ophain-Bois-Seigneur-Isaac",50.6665,4.3487
1428,"Lillois-Witterzée",50.6455,4.3668
1430,"Rebecq",50.666,4.132
1435,"Corbais",50.6461,4.6559
1440,"Braine-Le-Château",50.6799,4.2739
1450,"Gentinnes",50.5784,4.607
1457,"Walhain",50.6168,4.6948
1460,"Ittre",50.644,4.2648
1461,"Haut-Ittre",50.6531,4.2978
1470,"Bousval",50.6166,4.508
1471,"Loupoigne",50.5981,4.4445
1472,"Vieux-Genappe",50.6085,4.441
1473,"Glabais",50.6307,4.4533
1474,"Ways",50.6111,4.4645
1476,"Houtain-Le-Val",50.5824,4.4126
1480,"Oisquercq",50.6701,4.2198
1490,"Court-Saint-Etienne",50.6338,4.5685
1495,"Sart-Dames-Avelines",50.5686,4.4922
6000,"Charleroi",50.4114,4.4445
6001,"Marcinelle",50.3922,4.4439
6010,"Couillet",50.3914,4.4591
6020,"Dampremy",50.4171,4.4309
6030,"Marchienne-Au-Pont",50.4057,4.3953
6031,"Monceau-Sur-Sambre",50.4169,4.3767
6032,"Mont-Sur-Marchienne",50.39,4.4073
6040,"Jumet",50.4422,4.4374
6041,"Gosselies",50.4694,4.4332
6042,"Lodelinsart",50.4314,4.4489
6043,"Ransart",50.4617,4.4762
6044,"Roux",50.4411,4.3917
6060,"Gilly",50.4245,4.4789
6061,"Montignies-Sur-Sambre",50.4108,4.4911
6110,"Montigny-Le-Tilleul",50.3806,4.3758
6111,"Landelies",50.38,4.3508
6120,"Cour-Sur-Heure",50.3012,4.3892
6140,"Fontaine-L'Evêque",50.4091,4.3243
6141,"Forchies-La-Marche",50.4369,4.3211
6142,"Leernes",50.3981,4.3324
6150,"Anderlues",50.407,4.2714
6180,"Courcelles",50.4638,4.3747
6181,"Gouy-Lez-Piéton",50.4907,4.3289
6182,"Souvret",50.4486,4.3457
6183,"Trazegnies",50.4638,4.3329
6200,"Bouffioulx",50.3912,4.5155
6210,"Les Bons Villers",50.5321,4.435
6211,"Mellet",50.5057,4.4786
6220,"Heppignies",50.4846,4.4953
6221,"Saint-Amand",50.5061,4.5499
6222,"Brye",50.5244,4.5567
6223,"Wagnelée",50.5233,4.5333
6224,"Wanfercée-Baulet",50.4729,4.5875
6230,"Viesville",50.4909,4.4085
6238,"Luttre",50.5101,4.3971
6240,"Pironchamps",50.4318,4.5202
6250,"Presles",50.3842,4.5784
6280,"Gerpinnes",50.3379,4.5273
6440,"Vergnies",50.1992,4.3033
6441,"Erpion",50.2119,4.3556
6460,"Salles",50.0553,4.245
6461,"Virelles",50.0639,4.3351
6462,"Vaulx-Lez-Chimay",50.0617,4.3651
6463,"Lompret",50.0644,4.379
6464,"L'Escaillère",49.945,4.4307
6470,"Sautin",50.1634,4.2265
6500,"Solre-Saint-Géry",50.2164,4.2483
6511,"Strée",50.2808,4.2939
6530,"Thuin",50.3393,4.286
6531,"Biesme-Sous-Thuin",50.3221,4.309
6532,"Ragnies",50.308,4.2845
6533,"Biercée",50.3242,4.2594
6534,"Gozée",50.3346,4.3527
6536,"Donstiennes",50.2856,4.3117
6540,"Lobbes",50.3526,4.2672
6542,"Sars-La-Buissière",50.3398,4.2094
6543,"Bienne-Lez-Happart",50.3521,4.2162
6560,"Solre-Sur-Sambre",50.3081,4.1543
6567,"Merbes-Le-Château",50.3245,4.1649
6590,"Momignies",50.0271,4.1652
6591,"Macon",50.0507,4.2092
6592,"Monceau-Imbrechies",50.0379,4.2251
6593,"Macquenoise",49.9757,4.1789
6594,"Beauwelz",50.0143,4.1568
6596,"Seloignes",50.0151,4.2552
7000,"Mons",50.4541,3.9523
7011,"Ghlin",50.4731,3.9029
7012,"Flénu",50.4367,3.8857
7020,"Maisières",50.4882,3.9656
7021,"Havré",50.464,4.0467
7022,"Harveng",50.3939,3.9878
7024,"Ciply",50.4187,3.9442
7030,"Saint-Symphorien",50.439,4.0073
7031,"Villers-Saint-Ghislain",50.4303,4.0399
7032,"Spiennes",50.425,3.9874
7033,"Cuesmes",50.4362,3.9232
7034,"Saint-Denis",50.4905,4.0205
7040,"Goegnies-Chaussée",50.3412,3.9417
7041,"Givry",50.3783,4.0293
7050,"Masnuy-Saint-Pierre",50.537,3.9607
7060,"Soignies",50.579,4.0713
7061,"Thieusies",50.5153,4.0493
7062,"Naast",50.5541,4.1008
7063,"Chaussée-Notre-Dame-Louvignies",50.5918,3.998
7070,"Ville-Sur-Haine",50.4766,4.0643
